"Transect","Zone","Species","Relative Importance"
"Landward-Creek","0-20m","Avicennia marina",0.504177842973102
"Landward-Creek","0-20m","Ceriops australis",0.352631602137258
"Landward-Creek","20-40m","Ceriops australis",0.426508781632928
"Landward-Creek","20-40m","Lumnitzera racemosa",0.243110236220472
"Landward-Creek","20-40m","Osbornia octodonta",0.375321237289074
"Landward-Creek","40-60m","Ceriops australis",0.538608895551199
"Landward-Creek","40-60m","Lumnitzera racemosa",0.408811178685201
"Landward-Creek","40-60m","Osbornia octodonta",0.262367019695565
"Landward-Creek","60-80m","Ceriops australis",0.72886375240564
"Landward-Creek","80-100m","Ceriops australis",0.422769248021881
"Landward-Creek","80-100m","Lumnitzera racemosa",0.516901408450704
"Seaward","0-20m","Avicennia marina",0.617784865802364
"Seaward","0-20m","Rhizophora stylosa",0.658658161037163
"Seaward","20-40m","Avicennia marina",0.313063261142193
"Seaward","20-40m","Rhizophora stylosa",0.86583003093906
"Seaward","40-60m","Avicennia marina",0.408848962450232
"Seaward","40-60m","Rhizophora stylosa",0.649558032185516
"Seaward","60-80m","Avicennia marina",0.546930628631708
"Seaward","60-80m","Lumnitzera racemosa",0.161236424394319
"Seaward","60-80m","Rhizophora stylosa",0.376545021089309
"Seaward","80-100m","Avicennia marina",0.537599754450583
"Seaward","80-100m","Rhizophora stylosa",0.462400245549417
"Landward-Creek","0-20m","Rhizophora stylosa",0.12818277578003
"Landward-Creek","20-40m","Avicennia marina",0.175699853506761
"Landward-Creek","60-80m","Avicennia marina",0.230296335572051
"Landward-Creek","80-100m","Avicennia marina",0.453623358994152
"Seaward","60-80m","Ceriops australis",0.364754098360656
"Landward-Creek","0-20m","Aegialitis annulata",0.301388888888889
"Landward-Creek","40-60m","Avicennia marina",0.188261075574508
"Landward-Creek","60-80m","Osbornia octodonta",0.352816071638977
"Landward-Creek","80-100m","Aegialitis annulata",0.163660001464879
"Landward-Creek","80-100m","Osbornia octodonta",0.143884128030469
"Seaward","60-80m","Aegialitis annulata",0.398015873015873
