"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"3/07/2015","8:27:13 AM","red",100,"80m-100m",153.09409194,-25.60196532,"Upslope",0.01,1,0,0,1,1,0,0,1,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:49:03 AM","red",0,"0-20m",153.0939551,-25.60234125,"Upslope",0.01,0,0,0,0,NA,NA,0,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:53:04 AM","red",5,"0-20m",153.09389927,-25.60237079,"Crest",0.01,0,2,0,2,0,0,0,1,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:59:51 AM","red",10,"0-20m",NA,NA,"Downslope",0.1,0,7,0,7,0,0,0,1,0.8,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:03:52 AM","red",15,"0-20m",153.09380055,-25.60231413,"Trough",0.15,1,3,0,4,0.25,0,0,1,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:07:57 AM","red",20,"0-20m",153.09376683,-25.60229248,"Upslope",0.05,0,2,1,2,0,0.5,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:15:48 AM","red",25,"20-40m",153.09369669,-25.60229334,"Upslope",0.3,0,4,0,4,0,0,0,1,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:18:45 AM","red",30,"20-40m",153.0936619,-25.60225337,"Crest",0.3,2,6,1,8,0.25,0.125,0,1,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:26:57 AM","red",35,"20-40m",153.09359586,-25.60225935,"Downslope",0.2,1,4,0,5,0.2,0,0,3,0.27,0,0,0.1,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:30:06 AM","red",40,"20-40m",NA,NA,"Trough",0.5,NA,NA,NA,NA,NA,NA,1,3,0.35,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:40:13 AM","red",45,"40-60m",153.09353147,-25.60225645,"Crest",0.9,0,2,0,2,0,0,1,2,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","red"
"3/07/2015","9:53:10 AM","red",50,"40-60m",153.09347795,-25.60220343,"Downslope",0.95,1,1,2,2,0.5,1,1,4,0.63,0,0,0,0,0,0.4,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","red"
"3/07/2015","10:01:09 AM","red",60,"40-60m",153.09340306,-25.60219118,"Trough",0.95,1,0,1,1,1,1,1,1,0.8,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","10:08:47 AM","red",65,"60-80m",153.09332494,-25.6021875,"Trough",0.5,0,0,0,0,NA,NA,1,2,0.8,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","10:07:02 AM","helptess",70,"60-80m",153.0933267,-25.60216189,"Trough",0.7,0,1,1,1,0,1,1,3,0.21,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","red"
