"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"4/07/2015","8:39:30 AM","yellow croissant",100,"80m-100m",153.09648363,-25.59421612,"Upslope",0,0,1,0,1,0,0,1,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:01:41 AM","yellow croissant",0,"0-20m",153.0965743,-25.59406069,"Upslope",0.01,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:07:11 AM","yellow croissant",5,"0-20m",153.09653099,-25.5940765,"Upslope",0,0,0,0,0,NA,NA,0,1,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:11:01 AM","yellow croissant",10,"0-20m",153.09650569,-25.59405381,"Crest",0,0,0,0,0,NA,NA,0,1,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:11:55 AM","yellow croissant",15,"0-20m",153.09644342,-25.59405097,"Upslope",0,0,0,0,0,NA,NA,0,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:13:57 AM","yellow croissant",20,"0-20m",153.09638093,-25.59400915,"Upslope",0.05,0,0,0,0,NA,NA,0,2,0.06,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:18:19 AM","yellow croissant",25,"20-40m",153.09633343,-25.59402226,"Crest",0.02,0,6,2,6,0,0.333333333333333,0,3,0.11,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:21:27 AM","yellow croissant",30,"20-40m",153.09627318,-25.59399158,"Downslope",0.1,1,5,4,6,0.166666666666667,0.666666666666667,0,3,0.47,0,0,0.05,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:25:49 AM","yellow croissant",35,"20-40m",153.09624692,-25.59399292,"Trough",0.8,3,6,2,9,0.333333333333333,0.222222222222222,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:31:17 AM","yellow croissant",40,"20-40m",153.09616649,-25.59396289,"Upslope",0.95,1,6,1,7,0.142857142857143,0.142857142857143,1,2,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:35:18 AM","yellow croissant",45,"40-60m",153.09613467,-25.59397638,"Crest",0.8,0,5,1,5,0,0.2,1,5,0.74,0,0,0.3,0,0,0,0.01,0,0.3,0,0,0,0,0,0,0,0,0,0,0.08,0.05,0,0,0,0,0,0,0,1,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:42:12 AM","yellow croissant",50,"40-60m",153.09610073,-25.59395805,"Crest",0.95,0,3,1,3,0,0.333333333333333,0,2,0.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:48:13 AM","yellow croissant",55,"40-60m",153.09602952,-25.59395792,"Downslope",0.9,1,3,2,4,0.25,0.5,2,2,0.8,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:59:06 AM","yellow croissant",60,"40-60m",153.0959885,-25.59391593,"Trough",0.9,1,2,3,3,0.333333333333333,1,0,3,0.3,0,0,0.05,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:02:49 AM","yellow croissant",65,"60-80m",153.095909,-25.59394157,"Trough",0.95,2,2,4,4,0.5,1,1,4,1.06,0.2,0,0.01,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:08:08 AM","yellow croissant",70,"60-80m",153.09589519,-25.59392676,"Trough",0.7,0,2,2,2,0,1,1,2,0.35,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:11:56 AM","yellow croissant",75,"60-80m",153.09585068,-25.59392166,"Trough",0.4,0,2,1,2,0,0.5,1,2,0.55,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:14:00 AM","yellow croissant",80,"60-80m",153.0957958,-25.59389753,"Upslope",0.95,0,3,3,3,0,1,0,2,0.75,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:15:56 AM","yellow croissant",85,"80m-100m",153.0957477,-25.59390902,"Upslope",1,0,1,1,1,0,1,1,3,0.14,0,0,0,0,0,0,0,0.02,0,0,0,0,0.07,0,0,0,0,0,0,0,0.05,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","8:39:16 AM","yellow duck",100,"80m-100m",153.09650896,-25.59421703,"Upslope",0,0,1,0,1,0,0,1,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:12:00 AM","yellow duck",0,"0-20m",153.09661509,-25.59389885,"Upslope",0.01,0,0,0,0,NA,NA,0,1,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:18:46 AM","yellow duck",5,"0-20m",153.09657066,-25.59393456,"Upslope",0,0,1,0,1,0,0,0,1,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:21:33 AM","yellow duck",10,"0-20m",153.09652373,-25.59388418,"Downslope",0.01,2,1,0,3,0.666666666666667,0,0,1,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:24:38 AM","yellow duck",15,"0-20m",153.09649576,-25.5938913,"Upslope",0.01,0,1,0,1,0,0,0,2,0.16,0,0,0.01,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:27:47 AM","yellow duck",20,"0-20m",153.09644821,-25.59385758,"Upslope",0.05,1,1,0,2,0.5,0,1,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:30:51 AM","yellow duck",25,"20-40m",153.09637518,-25.59384591,"Crest",0.04,1,3,0,4,0.25,0,1,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:34:36 AM","yellow duck",30,"20-40m",153.09633054,-25.59380686,"Downslope",0.4,0,2,2,2,0,1,1,3,0.72,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:39:17 AM","yellow duck",35,"20-40m",153.09629121,-25.59385765,"Trough",1,0,2,2,2,0,1,1,4,0.18,0,0,0.1,0,0,0,0.05,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:44:10 AM","yellow duck",40,"20-40m",153.09624072,-25.59379983,"Upslope",1,0,1,1,1,0,1,1,3,0.96,0,0,0.05,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:49:35 AM","yellow duck",45,"40-60m",153.0961944,-25.59382493,"Upslope",1,1,1,1,2,0.5,0.5,2,2,0.6,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:53:09 AM","yellow duck",50,"40-60m",153.09614824,-25.59378777,"Downslope",0.95,0,2,2,2,0,1,1,2,0.71,0,0,0.01,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:55:43 AM","yellow duck",55,"40-60m",153.09609993,-25.59381536,"Trough",1,1,0,1,1,1,1,1,1,0.7,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
