"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"5/07/2015","9:43:20 AM","blueking",80,"60-80m",153.09190768,-25.6059724,"Upslope",0.75,0,0,0,0,NA,NA,0,3,0.5,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","9:48:15 AM","blueking",75,"60-80m",153.09214636,-25.60600517,"Trough",0.6,1,0,1,1,1,1,1,3,0.16,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,"Week 2","blue"
"5/07/2015","8:29:02 AM","blueking",100,"80m-100m",153.09284648,-25.60596359,"Upslope",0.01,2,0,0,2,1,0,1,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:47:52 AM","blueking",0,"0-20m",153.09277278,-25.6061458,"Upslope",0.01,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:49:05 AM","blueking",5,"0-20m",NA,NA,"Upslope",0,1,0,0,1,1,0,0,1,0.38,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:51:21 AM","blueking",10,"0-20m",153.09269588,-25.60614851,"Crest",0,1,0,0,1,1,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:53:07 AM","blueking",15,"0-20m",153.09265932,-25.60618486,"Trough",0.03,1,0,0,1,1,0,0,1,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:54:55 AM","blueking",20,"0-20m",153.09261465,-25.60612904,"Upslope",0.01,2,1,1,3,0.666666666666667,0.333333333333333,0,1,0.16,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:57:58 AM","blueking",25,"20-40m",NA,NA,"Downslope",0.24,3,0,0,3,1,0,1,1,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","blue"
"5/07/2015","9:02:59 AM","blueking",30,"20-40m",NA,NA,"Trough",0.14,1,2,0,3,0.333333333333333,0,0,2,0.47,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
